tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,0.0,
17.0,0.0,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0,
22.0,0.0,
23.0,0.0,
24.0,0.0,
25.0,0.0,
26.0,0.0,
27.0,0.0,
28.0,0.0,
29.0,0.0,
30.0,0.0,
31.0,0.0,
32.0,0.0,
33.0,0.0,
34.0,0.0,
35.0,0.0,
36.0,0.0,
37.0,0.0,
38.0,0.0,
39.0,1.9479263033409016e-05,1.9479263033409016e-05
40.0,1.9479263033409016e-05,
41.0,1.9479263033409016e-05,
42.0,1.9479263033409016e-05,
43.0,1.9479263033409016e-05,
44.0,-3.778092134614124e-06,-3.778092134614124e-06
45.0,-3.778092134614124e-06,
46.0,-3.778092134614124e-06,
47.0,-3.778092134614124e-06,
48.0,-3.778092134614124e-06,
49.0,-3.778092134614124e-06,
50.0,-3.778092134614124e-06,
51.0,-3.778092134614124e-06,
52.0,-3.778092134614124e-06,
53.0,-3.778092134614124e-06,
54.0,-3.778092134614124e-06,
55.0,-3.778092134614124e-06,
56.0,-3.778092134614124e-06,
57.0,-3.778092134614124e-06,
58.0,-3.778092134614124e-06,
59.0,-3.778092134614124e-06,
60.0,-3.778092134614124e-06,
61.0,-3.778092134614124e-06,
62.0,-3.778092134614124e-06,
63.0,-3.778092134614124e-06,
64.0,-3.778092134614124e-06,
65.0,-3.778092134614124e-06,
66.0,-3.778092134614124e-06,
67.0,-3.778092134614124e-06,
68.0,-3.778092134614124e-06,
69.0,-3.778092134614124e-06,
70.0,-3.778092134614124e-06,
71.0,-3.778092134614124e-06,
72.0,-3.778092134614124e-06,
73.0,-3.778092134614124e-06,
74.0,-3.778092134614124e-06,
75.0,-3.778092134614124e-06,
76.0,-3.778092134614124e-06,
77.0,-3.778092134614124e-06,
78.0,-3.778092134614124e-06,
79.0,-3.778092134614124e-06,
