tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-9.33620666758899e-08,0.0,1.2007031427364057e-05,,,,
3.0,-9.978270757975704e-10,5.418272668366458e-09,1.283277190057126e-07,3.466401289777508e-08,,,,
4.0,-9.453378251039992e-10,-1.3484943146437871e-09,1.286635249302943e-07,-2.994781638158978e-06,,,,
5.0,-9.584372581182487e-10,3.6429790779802526e-09,9.957186244766029e-08,-1.1584339620480494e-06,-9.584372581182487e-10,3.6429790779802526e-09,9.957186244766029e-08,-1.1584339620480494e-06
6.0,-9.220808588363897e-10,-1.232858195417243e-07,8.801086065095628e-08,-2.1480296787596866e-07,,,,
7.0,-2.1209152542103037e-09,-3.158947891784153e-07,8.592211121427871e-08,-9.80976887490545e-07,,,,
8.0,-5.215585829367705e-09,6.887639990927902e-07,7.631194855055753e-08,1.823631803389006e-06,,,,
9.0,2.215482757673611e-09,-3.187220387655791e-07,9.598709566385474e-08,-6.266459240406461e-07,,,,
10.0,-9.373934206405783e-10,-2.2775886903778974e-07,8.978816127639434e-08,3.491689180089366e-07,-9.373934206405783e-10,-2.2775886903778974e-07,8.978816127639434e-08,3.491689180089366e-07
11.0,-3.0466500844528902e-09,-2.2583835319487663e-07,9.302178669005183e-08,-6.08088352801817e-07,,,,
12.0,-5.353308366936316e-09,-2.2340938988022777e-07,8.681091942313697e-08,-8.664838707500218e-07,,,,
13.0,-7.539089086214459e-09,-2.2932943714511453e-07,7.833346133927462e-08,3.8149718002146467e-07,,,,
14.0,-1.0016825800518482e-08,-1.9203509131187996e-07,8.245525913858855e-08,-2.5713743357527586e-07,,,,
15.0,-1.1906743571698209e-08,-1.961038115286785e-07,7.992463516757583e-08,4.315748072583929e-07,-1.1906743571698209e-08,-1.961038115286785e-07,7.992463516757583e-08,4.315748072583929e-07
16.0,-1.3798035615795886e-08,-1.9470411840223022e-07,8.408688980728955e-08,-5.776923796942156e-07,,,,
17.0,-1.5767626475542666e-08,2.474244395314725e-07,7.824306051323975e-08,4.324392950804428e-07,,,,
18.0,-1.3309784599718809e-08,4.089863415964745e-07,8.253878574641852e-08,1.14801320394097e-06,,,,
19.0,-9.371689882321663e-09,6.54681504864882e-07,9.35929073004403e-08,1.7728988373253357e-06,,,,
20.0,-2.3859160721509682e-09,6.66604391697092e-07,1.1251061029622834e-07,1.590077821834419e-06,-2.3859160721509682e-09,6.66604391697092e-07,1.1251061029622834e-07,1.590077821834419e-06
21.0,3.864285302327614e-09,9.472545731380275e-07,1.274194628500732e-07,2.478724768152911e-06,,,,
22.0,1.4482168907057751e-08,1.402302505211375e-06,1.552037690152273e-07,1.6516968425759642e-06,,,,
23.0,2.7304271899222414e-08,1.7231171960565356e-06,1.7030623581439337e-07,4.368472395573494e-06,,,,
24.0,4.461477266331418e-08,2.155854349187549e-06,2.1419207533508935e-07,2.554274609467101e-06,,,,
25.0,6.537813993342738e-08,1.6415563929084565e-06,2.3879268986411686e-07,4.106521653867269e-06,6.537813993342738e-08,1.6415563929084565e-06,2.3879268986411686e-07,4.106521653867269e-06
26.0,8.281276404746933e-08,6.175682347568995e-07,2.8240718995722597e-07,1.8326137042955677e-06,,,,
